company,industry,rating,title,job_title,employee_status,location,date,pros,cons,advice,recommends
HDBANK,Ngân hàng,4.0,Công ty thay máu nhân sự nhưng vẫn thực hiện cắt giảm,Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,01/03/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,2.0,JD “khủng” nhưng thực tế khó chịu,Nhân viên,Nhân viên cũ,Hồ Chí Minh,06/02/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty HDBank được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,1.0,Chiêu trò chạy số của HD Bank,Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,14/01/2025,,Không,,Có
HDBANK,Ngân hàng,5.0,"Môi trường làm việc an toàn và hiệu quả, phù hợp cho nhân viên phát triển nhưng áp lực công việc lớn, đặc biệt từ các chỉ tiêu kinh doanh hàng tuần (VN)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,07/11/2024,,"Môi trường làm việc an toàn và hiệu quả, phù hợp cho nhân viên phát triển.Hoạt động mạnh trong lĩnh vực ngân hàng thương mại và huy động tiền gửi, mang lại cơ hội chuyên môn cao.Văn hóa làm việc đáng tin cậy, trung thành và đoàn kết, giúp nhân viên có sự gắn kết tốt trong công việc.Công việc có tính chuyên môn cao, liên quan đến phân tích dữ liệu, lãi suất và thị trường chứng khoán để tư vấn khách hàng.",,Có
HDBANK,Ngân hàng,1.0,"Môi trường toxic, sếp không chuyên nghiệp, cá lớn nuốt cá bé (RV)",Nhân viên,Nhân viên hiện tại,Hà Nội,24/10/2024,,Không có,,
HDBANK,Ngân hàng,4.0,Những tổng quan rút ra được sau khi làm tại công ty,Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,18/10/2024,,"Sau 7749 lần bức xúc nhưng tổng quan lại thì khá ổn.Tích cực:- Team vui vẻ, hòa đồng- Lương thấp nhưng bù lại có thưởng nên bù trừ, tổng quan lại vẫn khá cao so với ở ngoài( so với công ty VN thôi)- Chế độ làm việc tốt, có nhiều thời gian rảnh rỗi- Sếp rất tốt, lần đầu mình nghỉ mà thấy có lỗi với sếp như ở đây( đặc biệt là a H và a L ).- Được làm nhiều, trải nghiệm nhiều.",,Có
HDBANK,Ngân hàng,4.0,"Rất khó để tăng lương, thăng chức (GL)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,04/06/2024,,"- Nơi làm việc tốt.- Đồng nghiệp thân thiện và luôn hỗ trợ.- Phúc lợi tốt, môi trường thân thiện, hỗ trợ thành viên",,Có
HDBANK,Ngân hàng,5.0,Môi trường mình thấy khá ổn nhưng ở đây lên lương khó (RV),Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,03/04/2024,,"+ Môi trường mình thấy khá ổn, mấy sếp hỗ trợ golive nhiệt tình chẳng hạn anh Hoà, anh Chung,... luôn chỉ bảo, không bỏ rơi ae, chỉ nhiều hướng trong nghề. 1 người sếp khá là tôn trọng. Minh từng làm nhiều chổ nhưng môi trương đây không chê được+ Có nhiều cơ hội làm dự án lớn+ Thưởng: 1 năm bèo lắm 4-5 tháng lương:giữa năm 1 tháng kinh doanh tốt sẽ có thưởng trái phiếu/ chứng khoángCuôi năm 3-4 tháng lương",,Có
HDBANK,Ngân hàng,3.0,"Team vui vẻ, hòa đồng nhưng đồng nghiệp không phải ai cũng dễ hợp tác (RV)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,03/03/2024,,"Team vui vẻ, hòa đồng.Lương thấp nhưng có thưởng, tổng thu nhập khá cao so với mặt bằng công ty Việt Nam.Chế độ làm việc tốt, có nhiều thời gian rảnh.Sếp tốt, quan tâm nhân viên.Được làm nhiều, có cơ hội trải nghiệm.",,Có
HDBANK,Ngân hàng,3.0,"Chế độ làm việc tốt, có nhiều thời gian rảnh rỗi(rv)",Nhân viên/ Officer,Nhân viên cũ,Hồ Chí Minh,01/12/2023,,"- Team vui vẻ, hòa đồng- Lương thấp nhưng bù lại có thưởng nên bù trừ, tổng quan lại vẫn khá cao so với ở ngoài( so với công ty VN thôi)- Chế độ làm việc tốt, có nhiều thời gian rảnh rỗi- Sếp rất tốt, lần đầu mình nghỉ mà thấy có lỗi với sếp như ở đây- Được làm nhiều, trải nghiệm nhiều",,Có
HDBANK,Ngân hàng,5.0,"Môi trường mình thấy khá ổn, mấy sếp hỗ trợ golive nhiệt tình(rv)",Nhân viên/ Officer,Nhân viên cũ,Hồ Chí Minh,02/07/2023,,"+ Môi trường mình thấy khá ổn, mấy sếp hỗ trợ golive nhiệt tình..  luôn chỉ bảo, không bỏ rơi anh em, chỉ nhiều hướng trong nghề. 1 người sếp khá là tôn trọng. Minh từng làm nhiều chổ nhưng môi trương đây không chê được+ Có nhiều cơ hội làm dự án lớn+ Thưởng: 1 năm bèo lắm 4-5 tháng lương",,Có
HDBANK,Ngân hàng,1.0,"Thiếu minh bạch về đãi ngộ, không rõ ràng lộ trình",Web Developer,Nhân viên hiện tại,Hồ Chí Minh,20/05/2023,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,3.0,Phỏng vấn online thiếu tôn trọng và thái độ nghiệp dư,Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,21/04/2023,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,4.0,"Lộ trình nghề nghiệp không rõ ràng, đội ngũ nhân viên không được đào tạo đầy đủ cho công việc của mình (GL)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,02/10/2022,,- Đồng nghiệp thân thiện- Mức lương trung bình- ESOP cho nhân viên cũ- Ngân hàng có tiềm năng phát triển. Ban quản lý chuyên nghiệp.,,Có
HDBANK,Ngân hàng,3.0,"Công ty này quan liêu, làm việc máy móc, nhân sự thì làm việc chậm chạp (CTT)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,22/04/2022,,"- Không có ưu điểm nào về môi trường làm việc, văn hóa công ty, chế độ phúc lợi....được nhắc đến trong review này.",,Có
HDBANK,Ngân hàng,3.0,": Công Ty Tốt Để Học Hỏi, Nhưng Thu Nhập Thấp Và Thiếu Cơ Hội Đào Tạo",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,25/04/2021,,"Công việc học hỏi được nhiều kiến thức: Đây là một môi trường thích hợp cho những ai muốn học hỏi và phát triển nghề nghiệp, giúp bạn tích lũy kinh nghiệm thực tiễn.Môi trường làm việc thân thiện: Các đồng nghiệp hòa đồng, dễ gần, tạo điều kiện cho một môi trường làm việc không có sự căng thẳng, dễ dàng trao đổi và hợp tác.",,Có
HDBANK,Ngân hàng,4.0,"Môi trường rất trẻ và năng động, quản lý rất tốt và tâm lý (ID)",Nhân viên,Nhân viên cũ,Hồ Chí Minh,11/02/2020,,"- Môi trường rất trẻ và năng động- Quản lý rất tốt và tâm lý- Ở công ty cũ tôi học được cách giao tiếp, chia sẻ với mọi người và đồng nghiệp- Học được khả năng làm việc độc lập",,Có
HDBANK,Ngân hàng,3.0,Môi trường làm việc tại chi nhánh không ok lắm (ID),Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,05/09/2019,,- Ngân hàng có chế độ tương đối tốt- Ngoài ra không có thêm ưu điểm nào về môi trường làm việc tại công ty,,Có
FE Credit,Tài chính / Đầu tư,2.0,Áp lực công việc cao và thiếu sự tôn trọng nhân viên,Nhân viên,Nhân viên hiện tại,Hà Nội,23/03/2026,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty Fe Credit được đề cập trong reviews này.",,Có
FE Credit,Tài chính / Đầu tư,1.0,Áp lực công việc và trải nghiệm môi trường làm việc tại công ty,Nhân viên,Nhân viên hiện tại,Hà Nội,23/03/2026,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
FE Credit,Tài chính / Đầu tư,3.0,Review Công ty FE Credit,Nhân viên Telesale,Nhân viên cũ,Hồ Chí Minh,12/03/2026,,"Hoa hồng tạm ổn.Tuy nhiên tư vấn cho khách hàng thì khác, nhưng thực tế lãi khách trả sẽ cao hơn nhiều",,
FE Credit,Tài chính / Đầu tư,3.0,"Giờ làm thất thường, áp lực tâm lý cao",Nhân viên xử lý nợ,Nhân viên cũ,Hồ Chí Minh,04/03/2026,,"-Chưa bao giờ trễ lương thậm chí trả sớm nếu rơi vào T7, CN-Nhân viên khá thân thiện mỗi tội miệng hơi độc-Team Leader tốt tính hiểu tính nhân viênCó quá trình thăng tiến",,Có
FE Credit,Tài chính / Đầu tư,1.0,"Công ty ổn, nhưng con người chưa ổn.",Nhân Viên Tư Vấn Bán Hàng,Nhân viên cũ,Hồ Chí Minh,02/03/2026,"Công ty ổn, nhưng con người chưa ổn.",,,Có
FE Credit,Tài chính / Đầu tư,4.0,"Với những ai muốn làm telesale, chọn làm tại FE credit khá ổn",Nhân viên Telesale,Nhân viên cũ,Hồ Chí Minh,01/03/2026,,"Lương thưởng, KPI rõ ràng, hoa hồng dc đánh giá là cao nhất nhì trong các cty cho vay tiêu dùng, tín dụng. Trước mình làm có chị Phụng quản lý trực tiếp, kĩ năng telesale của chị đỉnh nhé. Trong mấy a/c quản lý quanh đó chưa thấy ai tận tình hỗ trợ TSA như thế, nếu bạn muốn học hỏi thêm nhiều kiến thức sale ko chỉ áp dụng riêng vs ngành tài chính này mà còn những cv khác nữa, dc vào team chị Phụng là điều may mắn đó. Cty có bếp ăn, lò vi sóng, còn chỗ ngủ thì trưa đến là mn dải thằm nằm sàn luôn, ko cấm điện thoại quá gắt gao nhé",,Có
FE Credit,Tài chính / Đầu tư,5.0,"Đánh giá tốt về công ty này, khuyến khích",JavaScript Developer,Nhân viên cũ,Hải Phòng,09/02/2026,,"Công ty ổn định, tiềm năng lớn",,Có
FE Credit,Tài chính / Đầu tư,3.0,"áp lực, mất nhiều time",Nhân viên tư vấn tín dụng,Nhân viên cũ,Hồ Chí Minh,06/02/2026,,chính sách lương thưởng ok,,
FE Credit,Tài chính / Đầu tư,3.0,"OT và trả OT là 2 khái niệm ko match tới nhau ở FE, nghỉ vẫn phải đi làm theo phân công",Nhân viên Telesale,Nhân viên cũ,Hồ Chí Minh,28/01/2026,,,"Ngồi gọi riết quen nên cũng bình thường, giống đi cafe tám chuyện vậy thôi. Rèn đc softskill và giao tiếp dạn hơn hẳn.Phù hợp cho người thực sự có năng lực thì kiếm tiền ngon. Toilet NAM sạch, đồ ăn bán ở dưới nhiều món đa dạng sang nghèo ăn đều OK.Có chỗ hút thuốc thoải mái.Nếu bạn đam mê nghề sales và biết nuôi khách và có data thì kiếm tiền ngon hơn mấy chỗ khác.Bảo hiểm đóng đầy đủ và lương đúng đủ.Đây là kinh nghiệm cá nhân, not guarantee cho nên bạn nào muốn hiểu về tài chính có thể trải nghiệm.",
FE Credit,Tài chính / Đầu tư,4.0,Leader và cả nhóm rất ok chỉ tận tình lắm,Nhân viên Telesale,Nhân viên cũ,Hồ Chí Minh,26/01/2026,,"Được Train từ đầu , luyện giao tiếp",,Có
FE Credit,Tài chính / Đầu tư,3.0,"Mức lương thấp, hệ thống cũ và quy trình xử lý phức tạp (GL)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,20/10/2025,,- Có cơ hội sở hữu 1 hệ thống và áp dụng các giải pháp kỹ thuật trên đó- Con người tốt và kỹ năng được cải thiện,,Có
FE Credit,Tài chính / Đầu tư,1.0,Những trải nghiệm tiêu cực về môi trường làm việc và chính sách đãi ngộ tại công ty,Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,30/04/2025,,"Không có  ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
FE Credit,Tài chính / Đầu tư,3.0,"Có thể đạt thu nhập khá nếu hoàn thành KPI, tuy nhiên không dễ",Nhân viên tư vấn tài chính,Nhân viên cũ,Hồ Chí Minh,16/04/2025,,,"Có thể đạt thu nhập khá nếu hoàn thành KPI, tuy nhiên không dễ, cần tự chủ động tìm data, chạy marketing hoặc tận dụng nhiều nguồn khác. Nếu kiên trì và chịu khó học hỏi, vẫn có thể đạt kết quả tốt.",Có
FE Credit,Tài chính / Đầu tư,2.0,Mọi thứ chắc ổn trừ cái làm tới 7 8h mà k có OT,Nhân viên Telesale,Nhân viên cũ,Hồ Chí Minh,15/04/2025,,"Làm văn phòng, đồng nghiệp cũng dễ thương, anh chị hướng dẫn công việc nhiệt tình, riêng chị quản lý thì hời hợt, như không muốn chỉ mình làm.",,
FE Credit,Tài chính / Đầu tư,4.0,Review tổng quan công ty FE CREDIT,Nhân Viên Nhân Sự,Nhân viên hiện tại,Hồ Chí Minh,11/04/2025,,"- Đồng nghiệp hòa đồng, 2024 có thưởng KPI năm và có lương 13- Công ty chưa trễ lương- Sếp thân thiện",,Có
FE Credit,Tài chính / Đầu tư,4.0,Khá ổn cho thực tập sinh,Thực tập sinh vận hành,Nhân viên cũ,Hồ Chí Minh,10/04/2025,,"Khá ổn cho thực tập sinh, học hỏi lấy kinh nghiệm.",,Có
FE Credit,Tài chính / Đầu tư,3.0,"công ty tạm được, phù hợp với intern",Intern/Fresher UI/UX Designer,Nhân viên cũ,Hà Nội,24/03/2025,,"có danh tiếng, sếp và đồng nghiệp cũng ổn, mới vào cũng học được vài thứ, địa điểm công ty dễ di chuyển, gần nhà, không mất nhiều thời gian di chuyểnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn",,Có
FE Credit,Tài chính / Đầu tư,5.0,"Tương đối tốt, mọi thứ phù hợp cho một nhân viên partime",Thực tập sinh System Admin,Nhân viên cũ,Hà Nội,05/03/2025,,"Môi trường tốt, lương thưởng rõ ràng. Có làm thì có hưởng còn làm ít thì hưởng ít theo quy luật thôi. Môi trường anh em khá hòa đồng, dễ tiếp cận",,Có
FE Credit,Tài chính / Đầu tư,2.0,CẢM THẤY CÓ LỖI VỚI KHÁCH HÀNG,Nhân viên kinh doanh,Nhân viên cũ,Đà Nẵng,25/02/2025,,,"CHƯA THẤY ƯU ĐIỂM GÌ NỔI TRỘI, có lẽ chắc là công ty con của 1 tập đoàn lớn, 1 ngân hàng to, được bơm nhiều tiền cho hoạt động bán hàng, marketing....",Có
FE Credit,Tài chính / Đầu tư,3.0,Môi trường làm việc không công bằng và thiếu chuyên nghiệp,Nhân viên Telesale,Nhân viên hiện tại,Hồ Chí Minh,20/01/2025,,"Máy lạnh 24/7, miễn phí gửi xe: Đây là những tiện ích nhỏ giúp nhân viên cảm thấy dễ chịu hơn trong công việc.Hỗ trợ ăn trưa 40k: Một mức hỗ trợ ăn trưa nhỏ, giúp giảm bớt phần nào chi phí cho nhân viên.Tính lương đúng: Lương không bị sai sót trong việc tính toán.",,Có
FE Credit,Tài chính / Đầu tư,4.0,"Tăng ca thường xuyên, ngày làm 11 tiếng là chuyện thường (CTT)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,16/01/2025,,"- Máy lạnh 24/7, miễn phí gửi xe.- Tăng ca thường xuyên, ngày làm 11 tiếng là chuyện thường. Tuy nhiên lại linh hoạt ngày nghỉ. 1/1 đi làm là chuyện thường- Chưa bao giờ tính lương lậu sai- Gửi xe miễn phí. Hỗ trợ ăn trưa 40k",,Có
FE Credit,Tài chính / Đầu tư,3.0,"Team bán hàng ko thèm quan tâm tới những quy trình, quy định bên trên đưa ra. Ngày lễ đi làm là chuyện thường.",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,07/01/2025,,Không có,,Có
FE Credit,Tài chính / Đầu tư,4.0,"Tùy thuộc vào nhóm bạn tham gia. Nhưng nhóm của tôi mọi người đều hợp tác với nhau, hỗ trợ nhau (GL)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,21/12/2024,,"- Tùy thuộc vào nhóm bạn tham gia. Nhưng nhóm của tôi mọi người đều hợp tác với nhau, hỗ trợ nhau.- Văn hóa có cấu trúc tốt và hợp tác- Người quản lý giỏi và tốt bụng",,Có
FE Credit,Tài chính / Đầu tư,1.0,Công ty hay xin số điện thoại người thân rồi khi người ta không trả nợ lại gọi điện làm phiền người thân,Nhân viên,Nhân viên cũ,Hồ Chí Minh,05/12/2024,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này",,Có
FE Credit,Tài chính / Đầu tư,5.0,"Môi trường và đãi ngộ tốt, áp lực cao, quản lý hỗ trợ nhiệt tình (ID)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,28/10/2024,,"MÔI TRƯỜNG VÀ ĐÃI NGỘ TỐT NHƯNG TÌNH TRẠNG CHUNG LÀ LÀM TÀI CHÍNH NÊN RẤT ÁP LỰC, TUY NHIÊN ĐƯỢC QUẢN LÝ HỖ TRỢ NHIỆT TÌNH. MỨC LƯƠNG PHỤ THUỘC CHỦ YẾU VÀO KPI HÀNG THÁNG, LƯƠNG CAO NHƯNG LƯƠNG T13 KHÔNG CAO.",,
FE Credit,Tài chính / Đầu tư,5.0,làm việc tại đây rất thoải mái vui vẻ môi trường làm việc cực tốt FA (ID),Nhân viên,Nhân viên hiện tại,Kiên Giang,28/10/2024,,"mình nhận thấy fe credit là một trong những công ty tài chính có chế độ đãi ngộ với nhân viên tốt nhất, thu nhập tại fe credit rất tốt lương khoảng 20 triệu trở lên nếu bạn siêng năng",,
FE Credit,Tài chính / Đầu tư,5.0,"Cty chuyên nghiệp, cấp quản lý và đồng nghiệp thân thiện vui vẻ (ID)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,28/10/2024,,"Về cty: chính sách lương thưởng từ năm 2019 trở về trước khá tốt, sắp xếp công việc và cuộc sống thuận lợi, hài hoà; môi trường làm việc vui vẻ thân thiện.Về sếp và đồng nghiệp: dễ gần, đoàn kết, hỗ trợ công việc tốt.",,
FE Credit,Tài chính / Đầu tư,3.0,"Môi trường tốt, chế độ tốt, lương tốt, nhưng người sếp trực tiếp lại ko cho nhân viên hưởng đúng chế độ hợp đồng (ID)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,21/10/2024,,Chế độ đãi ngộ cho nhân viên như thưởng lễ hoặc tết và bảo hiểm đầy đủ. Được chăm sóc sức khoẻ định kỳ mỗi năm.Được đi du lịch mỗi năm và chế độ lương theo hiệu suất công việc cao.,,
FE Credit,Tài chính / Đầu tư,4.0,"Phù hợp cho sinh viên mới ra trường, tìm kiếm thu nhập + kinh nghiệm (FB)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,19/10/2024,,"+ Lương cũng khá cao (từ 10-12tr trở lên tùy theo doanh số) - lương cứng 5tr7 (chưa trừ thuế+BHXH)+ Phù hợp cho sinh viên mới ra trường, tìm kiếm thu nhập + kinh nghiệm",,Có
FE Credit,Tài chính / Đầu tư,5.0,"Lương cao, công việc áp lực, thường xuyên tăng ca không lương (ID)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,16/10/2024,,"Phù hợp mấy bạn chỉ quan tâm đến lương cao, team dễ hay không còn tuỳ leader.",,
FE Credit,Tài chính / Đầu tư,3.0,"Không còn như xưa, cắt giảm phúc lợi và nhân viên (ID)",Nhân Viên Vận Hành Máy,Nhân viên hiện tại,Hà Nội,15/10/2024,,Không có,,
FE Credit,Tài chính / Đầu tư,5.0,"Môi trường tốt, nhân viên thân thiện, lương cao, học được nhiều kinh nghiệm (ID)",Nhân viên Telesale,Nhân viên hiện tại,Hồ Chí Minh,11/10/2024,,"môi trường tốt, sếp tốt, nhân viên thân thiện lương cao.. ngày làm 8h, học hỏi được nhiều. mangement biết lắng nghe. workplace culture hoà đồng và thân thiện. công việc khó nhất tìm khách hàng",,
FE Credit,Tài chính / Đầu tư,4.0,"Công ty chưa bao giờ trễ lương, lương trả cuối tháng, trước mình làm cskh nên môi trường thấy ok lắm (FB)",Nhân viên,Nhân viên cũ,Hồ Chí Minh,04/07/2024,,"- Công ty chưa bao giờ trễ lương, lương trả cuối tháng, trước mình làm cskh nên môi trường thấy ok lắm.- Tuần nghỉ 2 buổi, ca muộn nhất tới 19h,1 tháng chắc trực 1 2 ca đêm nhưng ca đêm làm khỏe lắm, lương thì nếu chạy kpi tèn tèn chắc trên 10tr 1 chút, cò kpi cao chắc cũng tới 12 13 cho vị trí officer, còn specialist thì cỡ 15 16.- Mình nghỉ công ty do làm cũng lâu với nói nhiều quá hại cổ họng thôi",,Có
FE Credit,Tài chính / Đầu tư,4.0,"Tính chất công việc cực kì cực kì cực kì là áp lực. Ngoài các chỉ tiêu, không chỉ gói gọn từ 8h - 17h hay t2 - CN... Mà hãy chuẩn bị tinh thần là khách có thể gọi bất cứ lúc nào (FB)",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,06/03/2024,,"- Lương cứng thấp nhưng có hoa hồng ăn theo KPI (khá) cao :)))- Có data sẵn, có hệ thống, có khách sẵn- Có script cuộc gọi bài bản. Gần chục năm rồi mà những cái script này mình thấy vẫn rất hiệu quả- Chính sách khá ok, có HDLD, có đóng BHXH. Ngày xưa mình còn được hỗ trợ tiền ăn và chi phí mua quần áo đi làm mà ko biết bây giờ còn koTóm lại nếu các bạn còn trẻ muốn thử sức muốn chạy số kiếm tiền thì có thể thử, áp lực nhiều thì tiền tăng thôi :))",,Có
FE Credit,Tài chính / Đầu tư,4.0,Đôi khi quy trình làm việc có thể không rõ ràng (GL),Nhân viên,Nhân viên hiện tại,Hà Nội,08/01/2024,,"- Phỏng vấn dễ dàng gói bảo hiểm sức khỏe tốt- Môi trường làm việc linh hoạt, đồng nghiệp thân thiện",,Có
FE Credit,Tài chính / Đầu tư,5.0,Review FE Credit,Kỹ sư phát triển phần mềm ERP (Software Developer),Nhân viên hiện tại,Hồ Chí Minh,08/11/2023,,,"Gần khu ăn uống, vị trí văn phòng ở gần trung tâm, thuận tiện đi lạiCó tính OT đầy đủ xứng đáng, môi trường tốt để thử sức",Có
FE Credit,Tài chính / Đầu tư,3.0,"Benefits tốt, môi trường cạnh tranh",Kỹ sư phát triển phần mềm ERP (Software Developer),Nhân viên hiện tại,Hồ Chí Minh,08/11/2023,,"Benefits tốtMôi trường năng động, nhiều cơ hội để thăng tiến nếu đủ khả năngChưa từng OT nên chưa biết sẽ như thế nào, nhưng nghe nói là OT có không có thêm lương",,Có
